Municipi;Codi;Altitud (m);Superfície (km²);Població
Abella de la Conca;250019;956;78,27;161
Abrera;080018;105;19,94;12981
Àger;250024;642;160,57;608
Agramunt;250030;337;79,65;5592
Aguilar de Segarra;080023;480;43,32;291
Agullana;170010;166;27,73;910
Aiguafreda;080142;404;7,90;2582
Aiguamúrcia;430017;314;72,95;965
Aiguaviva;170025;169;13,91;800
Aitona;250387;110;66,90;2575
Alamús, els;250045;212;20,53;799
Alàs i Cerc;250058;768;57,67;325
Albagés, l';250061;372;25,70;343
Albanyà;170031;239;94,39;167
Albatàrrec;250077;147;10,46;2247
Albesa;250083;237;37,61;1571
Albi, l';250096;526;32,54;764
Albinyana;430022;198;19,37;2678
Albiol, l';430038;823;20,34;538
Albons;170046;25;11,13;828
Alcanar;430043;72;47,07;9871
Alcanó;250100;214;21,03;240
Alcarràs;250117;137;114,29;10217
Alcoletge;250122;213;16,70;3621
Alcover;430056;243;46,00;5334
Aldea, l';439044;9;35,21;4554
Aldover;430069;14;20,20;897
Aleixar, l';430075;262;26,10;980
Alella;080039;90;9,58;10200
Alfara de Carles;430081;334;63,87;363
Alfarràs;250138;281;11,40;2759
Alfés;250143;236;31,94;284
Alforja;430094;374;38,24;2027
Algerri;250156;345;54,32;426
Alguaire;250169;304;50,11;2992
Alins;250175;1048;183,19;275
Alió;430108;263;7,25;506
Almacelles;250194;247;49,03;7031
Almatret;250208;462;56,83;303
Almenar;250215;329;66,59;3321
Almoster;430115;290;5,96;1338
Alòs de Balaguer;250220;297;69,08;118
Alp;170062;1158;44,29;1727
Alpens;080044;855;13,80;270
Alpicat;250236;264;15,33;6466
Alt Àneu;250241;1076;217,76;457
Altafulla;430120;52;6,95;5809
Amer;170078;186;40,08;2421
Ametlla de Mar, l';430136;19;66,86;7347
Ametlla del Vallès, l';080057;281;14,24;9448
Ampolla, l';439060;8;35,65;3692
Amposta;430141;8;138,31;22623
Anglès;170084;181;16,31;5915
Anglesola;250273;335;23,53;1370
Arbeca;250292;332;58,34;2085
Arboç, l';430167;166;14,13;5745
Arbolí;430154;714;20,78;129
Arbúcies;170097;291;86,22;6555
Arenys de Mar;080060;10;6,75;16513
Arenys de Munt;080076;121;21,29;9444
Argelaguer;170101;183;12,54;451
Argençola;080082;716;47,09;241
Argentera, l';430173;344;10,12;129
Argentona;080095;88;25,40;12850
Armentera, l';170118;7;5,60;1070
Arnes;430189;506;42,97;463
Arres;250313;1224;11,57;63
Arsèguel;250328;950;10,59;78
Artés;080109;316;17,87;6051
Artesa de Lleida;250334;202;23,94;1536
Artesa de Segre;250349;318;175,90;3519
Ascó;430192;70;73,63;1609
Aspa;250365;256;10,21;219
Avellanes i Santa Linya, les;250371;567;102,96;430
Avià;080116;677;27,23;2242
Avinyó;080121;353;63,23;2311
Avinyonet de Puigventós;170123;70;12,30;1689
Avinyonet del Penedès;080137;280;29,13;1745
Badalona;080155;6;21,18;226219
Badia del Vallès;089045;120;0,93;13109
Bagà;080168;785;43,13;2181
Baix Pallars;250390;591;129,41;344
Balaguer;250404;233;57,32;17597
Balenyà;080174;587;17,35;3999
Balsareny;080180;327;36,91;3325
Banyeres del Penedès;430206;173;12,19;3340
Banyoles;170157;172;11,05;20707
Barbens;250411;283;7,56;908
Barberà de la Conca;430213;475;26,60;480
Barberà del Vallès;082520;146;8,31;33644
Barcelona;080193;9;101,35;1686208
Baronia de Rialb, la;250426;388;145,08;230
Bàscara;170160;66;17,50;1055
Bassella;250447;423;70,25;210
Batea;430228;376;128,41;1881
Bausen;250450;931;17,72;60
Begues;080207;399;50,44;7439
Begur;170139;200;20,66;4227
Belianes;250463;373;15,69;518
Bellaguarda;251706;640;17,14;295
Bellcaire d'Empordà;170182;35;12,64;737
Bellcaire d'Urgell;250479;267;31,38;1226
Bell-lloc d'Urgell;250485;196;34,92;2347
Bellmunt d'Urgell;250498;379;5,11;183
Bellmunt del Priorat;430234;261;8,86;294
Bellprat;080214;653;30,97;69
Bellpuig;250501;308;34,98;5246
Bellvei;430249;108;8,27;2409
Bellver de Cerdanya;250518;1061;98,15;2266
Bellvís;250523;207;46,70;2251
Benavent de Segrià;250539;234;7,43;1571
Benifallet;430252;19;62,42;724
Benissanet;430265;26;23,06;1192
Berga;080229;704;22,57;17195
Besalú;170195;151;4,93;2577
Bescanó;170209;102;35,92;5122
Beuda;170216;338;35,91;205
Bigues i Riells del Fai;080235;307;28,64;10035
Biosca;250557;455;66,21;177
Bisbal d'Empordà, la;170221;39;20,62;11637
Bisbal de Falset, la;430271;372;14,14;207
Bisbal del Penedès, la;430287;189;32,54;4183
Biure;172348;81;10,02;225
Blancafort;430290;428;14,48;393
Blanes;170237;13;17,66;41935
Boadella i les Escaules;170293;82;10,78;260
Bolvir;170242;1145;10,34;497
Bonastre;430304;177;24,97;762
Bòrdes, Es;250576;852;21,44;281
Bordils;170255;42;7,32;1801
Borges Blanques, les;250582;304;61,55;6340
Borges del Camp, les;430311;238;8,24;2256
Borrassà;170268;73;9,45;774
Borredà;080240;854;43,45;426
Bossòst;250595;710;28,17;1144
Bot;430326;286;34,94;552
Botarell;430332;196;11,95;1170
Bovera;250560;297;31,12;253
Bràfim;430347;236;6,42;697
Breda;170274;169;5,02;3917
Bruc, el;080253;489;47,20;2293
Brull, el;080266;843;41,03;293
Brunyola i Sant Martí Sapresa;170280;247;36,82;393
Cabacés;430350;358;31,27;301
Cabanabona;250609;421;14,16;65
Cabanelles;170314;194;55,58;280
Cabanes;170307;26;15,02;975
Cabanyes, les;080272;252;1,15;1011
Cabó;250616;768;80,33;91
Cabra del Camp;430363;493;26,95;1325
Cabrera d'Anoia;080288;299;17,00;1712
Cabrera de Mar;080291;104;8,98;5014
Cabrils;080305;147;7,05;7764
Cadaqués;170329;23;26,43;2894
Calaf;080312;680;9,22;3595
Calafell;430379;67;20,38;31567
Calders;080348;552;33,09;1114
Caldes d'Estrac;080327;33;0,88;3241
Caldes de Malavella;170335;84;57,33;8445
Caldes de Montbui;080333;203;37,45;18334
Calella;080351;5;8,00;20207
Calldetenes;080370;489;5,80;2690
Callús;080386;260;12,50;2151
Calonge de Segarra;080364;688;37,15;174
Calonge i Sant Antoni;170340;22;33,57;12203
Camarasa;250621;321;157,13;818
Camarles;439039;13;25,16;3428
Cambrils;430385;24;35,21;36686
Camós;170353;168;15,66;713
Campdevànol;170366;738;32,62;3250
Campelles;170372;1303;18,64;165
Campins;080399;321;7,29;609
Campllong;170388;113;8,59;544
Camprodon;170391;947;103,38;2521
Canejan;250637;906;48,32;101
Canet d'Adri;170405;217;44,41;744
Canet de Mar;080403;15;5,56;15135
Canonja, la;439076;50;7,32;5936
Canovelles;080410;175;6,66;17264
Cànoves i Samalús;080425;346;29,19;3309
Cantallops;170412;200;19,62;346
Canyelles;080431;142;14,23;5360
Capafonts;430398;751;13,35;106
Capçanes;430402;223;22,49;426
Capellades;080446;317;2,94;5558
Capmany;170427;107;26,40;691
Capolat;080459;1279;34,13;92
Cardedeu;080462;193;12,10;19091
Cardona;080478;507;66,70;4566
Carme;080484;351;11,68;819
Caseres;430419;324;42,90;240
Cassà de la Selva;170448;137;45,21;10941
Casserres;080497;611;29,46;1675
