Altitud, superfície i població. Municipis
2021
"Font: Institut Cartogràfic de Catalunya; Idescat. Padró municipal d'habitants."
Nota: El Diari Oficial de la Generalitat de Catalunya (DOGC) va publicar el proppassat 2 de Juliol la Resolució PRE/2023/2021, de 29 de juny, per la qual es dona conformitat al canvi de  nom del municipi de Bigues i Riells, que passa a denominar-se Bigues i Riells del Fai.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15903&t=202100
Municipi;Comarca;Codi;Altitud (m);Superfície (km²);Població
Abella de la Conca;Pallars Jussà;250019;956;78,27;171
Abrera;Baix Llobregat;080018;105;19,94;12620
Àger;Noguera;250024;642;160,57;588
Agramunt;Urgell;250030;337;79,65;5464
Aguilar de Segarra;Bages;080023;480;43,32;286
Agullana;Alt Empordà;170010;166;27,73;885
Aiguafreda;Vallès Oriental;080142;404;7,90;2556
Aiguamúrcia;Alt Camp;430017;314;72,95;960
Aiguaviva;Gironès;170025;169;13,92;789
Aitona;Segrià;250387;110;66,90;2493
Alamús, els;Segrià;250045;212;20,53;773
Alàs i Cerc;Alt Urgell;250058;768;57,67;322
Albagés, l';Garrigues;250061;372;25,70;357
Albanyà;Alt Empordà;170031;239;94,39;178
Albatàrrec;Segrià;250077;147;10,46;2224
Albesa;Noguera;250083;237;37,61;1561
Albi, l';Garrigues;250096;526;32,54;749
Albinyana;Baix Penedès;430022;198;19,37;2504
Albiol, l';Baix Camp;430038;823;20,34;515
Albons;Baix Empordà;170046;25;11,13;798
Alcanar;Montsià;430043;72;47,07;9579
Alcanó;Segrià;250100;214;21,03;233
Alcarràs;Segrià;250117;137;114,29;9678
Alcoletge;Segrià;250122;213;16,70;3492
Alcover;Alt Camp;430056;243;46,00;5185
Aldea, l';Baix Ebre;439044;9;35,21;4160
Aldover;Baix Ebre;430069;14;20,20;911
Aleixar, l';Baix Camp;430075;262;26,10;912
Alella;Maresme;080039;90;9,58;9954
Alfara de Carles;Baix Ebre;430081;334;63,87;376
Alfarràs;Segrià;250138;281;11,40;2759
Alfés;Segrià;250143;236;31,94;301
Alforja;Baix Camp;430094;374;38,24;1843
Algerri;Noguera;250156;345;54,32;423
Alguaire;Segrià;250169;304;50,11;3065
Alins;Pallars Sobirà;250175;1048;183,19;279
Alió;Alt Camp;430108;263;7,25;478
Almacelles;Segrià;250194;247;49,03;6875
Almatret;Segrià;250208;462;56,83;310
Almenar;Segrià;250215;329;66,59;3365
Almoster;Baix Camp;430115;290;5,96;1322
Alòs de Balaguer;Noguera;250220;297;69,08;122
Alp;Cerdanya;170062;1158;44,29;1645
Alpens;Osona;080044;855;13,80;269
Alpicat;Segrià;250236;264;15,33;6274
Alt Àneu;Pallars Sobirà;250241;1076;217,76;430
Altafulla;Tarragonès;430120;52;6,95;5512
Amer;Selva;170078;186;40,08;2383
Ametlla de Mar, l';Baix Ebre;430136;19;66,86;7131
Ametlla del Vallès, l';Vallès Oriental;080057;281;14,24;8787
