Estructura per sexe i edat. Homes
Municipis. 2024
Font: Idescat. Indicadors demogràfics.
(..) Dada confidencial, amb baixa fiabilitat o no disponible.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=inddt&n=1957&geo=mun&t=202400
Codi;Nom;% 0 a 15 anys;% 16 a 64 anys;% 65 anys i més;Índex d'envelliment;Índex de sobreenvelliment;Edat mitjana
250019;Abella de la Conca;7,32;65,85;26,83;366,7;18,2;51,16
080018;Abrera;16,99;68,34;14,67;93,7;10,5;41,33
250024;Àger;8,48;64,55;26,97;356,0;21,3;50,43
250030;Agramunt;15,75;66,64;17,61;119,9;17,8;42,62
080023;Aguilar de Segarra;17,31;63,46;19,23;111,1;10,0;43,85
170010;Agullana;15,47;64,35;20,18;145,2;18,9;44,91
080142;Aiguafreda;12,72;67,81;19,48;169,0;12,7;45,14
430017;Aiguamúrcia;11,22;63,19;25,59;240,7;9,2;47,69
170025;Aiguaviva;18,41;66,42;15,17;92,4;14,8;41,83
250387;Aitona;17,09;64,43;18,48;112,4;17,0;42,82
250045;Alamús, els;12,50;66,67;20,83;180,9;16,5;44,96
250058;Alàs i Cerc;13,41;60,37;26,22;204,8;18,6;47,75
250061;Albagés, l';8,06;62,37;29,57;423,1;16,4;52,57
170031;Albanyà;21,18;57,65;21,18;112,5;0,0;42,36
250077;Albatàrrec;16,87;72,38;10,75;68,7;8,9;40,08
250083;Albesa;13,66;65,96;20,38;161,7;15,0;44,36
250096;Albi, l';15,56;57,14;27,30;194,5;15,0;47,06
430022;Albinyana;14,84;66,69;18,46;134,2;9,0;43,56
430038;Albiol, l';25,00;60,56;14,44;64,1;7,3;38,90
170046;Albons;12,74;65,09;22,17;195,8;8,5;45,13
430043;Alcanar;14,75;65,18;20,07;146,2;13,7;44,36
250100;Alcanó;15,25;61,86;22,88;158,8;11,1;47,07
250117;Alcarràs;18,62;70,05;11,33;63,9;14,3;39,76
250122;Alcoletge;17,72;69,42;12,86;76,9;12,0;40,37
430056;Alcover;16,14;66,59;17,27;116,5;10,9;42,47
439044;Aldea, l';15,67;67,33;17,00;118,6;15,0;42,02
430069;Aldover;12,64;60,35;27,02;229,6;15,3;48,44
430075;Aleixar, l';17,73;66,53;15,74;98,8;13,9;42,37
080039;Alella;17,41;61,64;20,95;130,0;9,8;43,19
430081;Alfara de Carles;9,09;65,24;25,67;300,0;16,7;49,33
250138;Alfarràs;12,53;66,29;21,18;188,1;19,3;45,10
250143;Alfés;13,92;60,13;25,95;205,0;9,8;47,65
430094;Alforja;13,73;67,09;19,18;152,7;13,7;44,83
250156;Algerri;14,47;57,87;27,66;203,1;16,9;48,27
250169;Alguaire;12,68;66,37;20,96;176,9;16,4;45,09
250175;Alins;10,34;62,07;27,59;266,7;20,0;50,78
430108;Alió;19,51;55,28;25,20;134,8;9,7;45,63
250194;Almacelles;13,53;69,13;17,34;141,7;16,4;42,60
250208;Almatret;7,19;58,08;34,73;483,3;19,0;53,13
250215;Almenar;12,91;66,84;20,25;171,2;16,0;45,11
430115;Almoster;15,45;68,05;16,49;115,6;9,9;43,00
250220;Alòs de Balaguer;7,25;68,12;24,64;340,0;11,8;52,15
170062;Alp;12,71;71,99;15,30;133,3;11,0;43,42
080044;Alpens;10,27;73,29;16,44;160,0;4,2;45,34
250236;Alpicat;17,03;68,32;14,65;93,9;8,4;41,15
250241;Alt Àneu;11,24;62,40;26,36;251,9;5,9;47,01
430120;Altafulla;17,77;63,71;18,52;112,4;7,9;42,89
170078;Amer;16,07;63,13;20,80;141,8;15,9;44,65
430136;Ametlla de Mar, l';13,06;62,38;24,57;205,8;12,5;46,09
080057;Ametlla del Vallès, l';16,87;67,64;15,49;100,1;8,8;41,55
439060;Ampolla, l';11,76;62,03;26,20;239,0;12,7;47,34
430141;Amposta;16,66;66,31;17,04;110,8;12,9;41,54
170084;Anglès;16,86;65,93;17,20;110,7;15,0;42,02
250273;Anglesola;14,62;64,25;21,13;157,0;19,2;45,32
250292;Arbeca;12,16;65,22;22,62;193,5;21,3;46,46
430167;Arboç, l';18,10;67,56;14,34;84,6;11,7;40,31
430154;Arbolí;9,21;75,00;15,79;171,4;0,0;46,85
170097;Arbúcies;16,47;65,40;18,13;121,7;11,1;42,67
080060;Arenys de Mar;15,06;64,93;20,01;144,4;12,1;43,95
080076;Arenys de Munt;16,32;66,97;16,72;112,3;11,3;42,41
170101;Argelaguer;12,82;64,96;22,22;179,3;11,5;44,61
080082;Argençola;14,63;68,29;17,07;116,7;0,0;43,98
430173;Argentera, l';2,67;74,67;22,67;850,0;5,9;52,29
080095;Argentona;16,35;66,44;17,21;115,1;11,6;42,34
170118;Armentera, l';16,48;64,44;19,07;121,2;10,7;43,38
430189;Arnes;10,78;52,59;36,64;404,8;22,4;52,27
250313;Arres;4,55;81,82;13,64;600,0;16,7;45,82
250328;Arsèguel;14,63;53,66;31,71;216,7;15,4;47,59
080109;Artés;15,89;66,07;18,03;121,6;12,8;42,61
250334;Artesa de Lleida;10,88;71,27;17,85;187,2;21,2;45,63
250349;Artesa de Segre;14,77;66,43;18,80;139,8;16,1;43,59
430192;Ascó;13,53;60,63;25,85;211,9;15,4;46,64
250365;Aspa;12,28;59,65;28,07;266,7;21,9;49,11
250371;Avellanes i Santa Linya, les;8,55;58,97;32,48;447,1;22,4;52,34
080116;Avià;15,77;62,37;21,86;158,4;12,7;44,98
080121;Avinyó;15,42;64,78;19,79;141,7;10,0;43,33
170123;Avinyonet de Puigventós;16,47;71,33;12,20;80,5;12,6;40,57
080137;Avinyonet del Penedès;12,11;69,73;18,16;164,7;8,9;44,95
080155;Badalona;16,30;66,32;17,38;115,5;11,0;41,98
089045;Badia del Vallès;14,46;67,40;18,14;136,5;11,0;43,17
080168;Bagà;10,22;63,38;26,39;281,2;15,8;48,28
250390;Baix Pallars;8,33;66,67;25,00;300,0;20,8;49,08
250404;Balaguer;17,35;67,28;15,37;95,9;15,4;41,02
080174;Balenyà;15,18;68,66;16,16;120,0;10,0;42,45
080180;Balsareny;11,69;67,06;21,24;191,4;13,5;45,94
430206;Banyeres del Penedès;15,07;69,51;15,43;110,3;6,6;42,58
170157;Banyoles;18,17;65,37;16,46;97,9;11,9;40,66
250411;Barbens;10,66;72,09;17,25;181,6;14,6;44,19
430213;Barberà de la Conca;9,92;70,99;19,08;208,3;8,0;46,44
082520;Barberà del Vallès;16,60;66,47;16,94;111,4;10,2;42,09
080193;Barcelona;13,30;69,01;17,69;143,4;15,0;42,58
250426;Baronia de Rialb, la;8,13;62,60;29,27;400,0;8,3;51,01
170160;Bàscara;15,06;67,10;17,84;131,5;21,9;43,57
250447;Bassella;13,91;63,48;22,61;173,3;11,5;45,62
430228;Batea;13,05;60,43;26,52;210,2;18,1;46,85
250450;Bausen;0,00;64,52;35,48;..;36,4;60,81
080207;Begues;18,13;67,28;14,58;90,1;10,4;41,05
170139;Begur;11,81;63,96;24,23;223,0;10,1;47,08
250463;Belianes;12,05;59,44;28,51;273,1;21,1;49,86
251706;Bellaguarda;7,84;62,75;29,41;409,1;22,2;50,43
170182;Bellcaire d'Empordà;14,17;63,89;21,94;171,7;7,6;45,01
250479;Bellcaire d'Urgell;12,50;63,80;23,70;205,6;16,4;46,40
250485;Bell-lloc d'Urgell;15,33;65,25;19,42;133,3;14,0;43,69
250498;Bellmunt d'Urgell;14,43;63,92;21,65;161,5;4,8;44,19
430234;Bellmunt del Priorat;13,55;63,87;22,58;166,7;17,1;45,27
080214;Bellprat;9,52;54,76;35,71;375,0;0,0;52,57
250501;Bellpuig;13,26;70,37;16,37;131,6;13,8;42,54
430249;Bellvei;15,61;68,95;15,45;107,9;10,4;41,60
250518;Bellver de Cerdanya;15,18;64,75;20,07;145,3;10,3;44,40
250523;Bellvís;14,51;65,32;20,17;151,6;17,9;44,77
250539;Benavent de Segrià;13,99;70,56;15,45;119,8;15,0;42,76
430252;Benifallet;5,97;63,35;30,68;540,0;13,0;50,89
430265;Benissanet;12,37;67,12;20,51;172,2;18,4;44,90
080229;Berga;14,71;65,32;19,98;146,9;14,5;43,62
170195;Besalú;16,83;62,28;20,89;136,7;21,4;44,37
170209;Bescanó;18,94;65,61;15,45;88,3;14,5;40,91
170216;Beuda;22,33;62,14;15,53;69,6;12,5;41,56
080235;Bigues i Riells del Fai;15,90;69,08;15,02;103,5;10,2;41,85
250557;Biosca;6,19;61,86;31,96;516,7;12,9;53,51
170221;Bisbal d'Empordà, la;18,35;66,12;15,53;92,1;11,5;40,73
430271;Bisbal de Montsant, la;10,17;61,86;27,97;300,0;15,2;49,57
430287;Bisbal del Penedès, la;14,57;66,62;18,80;139,1;8,6;43,96
172348;Biure;10,66;61,48;27,87;283,3;8,8;49,60
430290;Blancafort;8,54;68,34;23,12;270,6;17,4;47,44
170237;Blanes;14,22;67,94;17,84;136,8;10,9;42,89
170293;Boadella i les Escaules;10,77;66,15;23,08;250,0;13,3;48,77
170242;Bolvir;14,51;64,31;21,18;150,0;3,7;43,74
430304;Bonastre;17,89;63,48;18,63;111,8;6,6;43,34
