Estructura per sexe i edat. Dones
Municipis. 2023
Font: Idescat. Indicadors demogràfics.
(..) Dada confidencial, amb baixa fiabilitat o no disponible.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=inddt&n=1958&geo=mun&t=202300
Codi;Nom;% 0 a 15 anys;% 16 a 64 anys;% 65 anys i més;Índex d'envelliment;Índex de sobreenvelliment;Edat mitjana
250019;Abella de la Conca;11,25;63,75;25,00;222,2;25,0;46,98
080018;Abrera;16,82;65,14;18,04;116,9;11,2;42,62
250024;Àger;9,51;61,22;29,28;320,8;31,2;52,94
250030;Agramunt;17,21;60,50;22,29;141,3;25,2;44,69
080023;Aguilar de Segarra;21,32;63,97;14,71;83,3;30,0;42,27
170010;Agullana;16,74;62,45;20,82;138,6;25,8;44,44
080142;Aiguafreda;13,34;62,85;23,81;192,7;21,8;47,13
430017;Aiguamúrcia;16,14;61,78;22,08;140,5;22,1;44,60
170025;Aiguaviva;15,98;65,21;18,81;132,7;15,1;42,69
250387;Aitona;15,90;58,45;25,65;168,5;28,9;46,05
250045;Alamús, els;10,15;66,24;23,60;244,7;21,5;46,04
250058;Alàs i Cerc;15,24;50,61;34,15;233,3;16,1;48,40
250061;Albagés, l';9,04;60,84;30,12;333,3;22,0;50,97
170031;Albanyà;22,89;56,63;20,48;89,5;23,5;41,61
250077;Albatàrrec;16,47;68,53;15,00;99,4;23,2;41,69
250083;Albesa;14,31;58,46;27,24;202,0;20,7;47,22
250096;Albi, l';12,80;53,87;33,33;266,0;28,0;50,62
430022;Albinyana;14,56;62,91;22,53;165,2;15,3;44,76
430038;Albiol, l';17,34;66,13;16,53;107,9;9,8;41,53
170046;Albons;15,01;62,09;22,90;157,9;14,4;45,76
430043;Alcanar;14,95;61,79;23,26;167,9;20,7;46,05
250100;Alcanó;15,00;59,17;25,83;182,4;25,8;46,85
250117;Alcarràs;18,41;67,32;14,28;81,5;21,1;40,31
250122;Alcoletge;19,69;65,34;14,98;79,5;18,1;41,02
430056;Alcover;16,77;63,93;19,30;124,0;18,9;43,36
439044;Aldea, l';14,56;62,32;23,13;168,4;21,1;45,22
430069;Aldover;9,56;57,58;32,87;361,5;24,8;51,63
430075;Aleixar, l';15,75;67,40;16,85;114,9;18,2;43,45
080039;Alella;15,29;61,16;23,55;169,9;15,9;45,41
430081;Alfara de Carles;11,05;57,56;31,40;317,6;14,8;50,37
250138;Alfarràs;14,45;57,56;27,99;221,4;25,0;47,81
250143;Alfés;10,85;58,14;31,01;307,7;30,0;50,77
430094;Alforja;14,71;63,02;22,27;170,3;27,1;46,12
250156;Algerri;8,42;51,49;40,10;540,0;30,9;53,24
250169;Alguaire;16,36;58,18;25,46;165,6;23,0;46,15
250175;Alins;8,40;66,41;25,19;300,0;45,5;49,19
430108;Alió;22,39;57,92;19,69;92,7;19,6;41,28
250194;Almacelles;15,19;61,64;23,16;161,8;23,1;45,06
250208;Almatret;5,22;52,24;42,54;814,3;19,3;57,01
250215;Almenar;12,58;60,09;27,33;232,6;22,0;47,91
430115;Almoster;14,11;69,02;16,87;135,8;16,4;43,70
250220;Alòs de Balaguer;4,17;60,42;35,42;850,0;41,2;54,27
170062;Alp;12,03;70,84;17,13;160,2;16,3;43,08
080044;Alpens;11,29;66,13;22,58;233,3;25,0;48,15
250236;Alpicat;18,35;64,97;16,68;99,1;17,3;41,88
250241;Alt Àneu;8,38;72,77;18,85;240,0;38,9;47,40
430120;Altafulla;17,44;61,77;20,78;128,4;15,2;43,70
170078;Amer;14,23;59,20;26,57;193,5;24,0;46,62
430136;Ametlla de Mar, l';13,04;60,23;26,74;220,5;16,0;47,61
080057;Ametlla del Vallès, l';16,71;67,11;16,17;104,6;18,4;42,40
439060;Ampolla, l';12,34;59,91;27,75;243,6;14,1;48,18
430141;Amposta;15,81;63,39;20,80;141,6;19,3;43,88
170084;Anglès;16,82;62,15;21,03;138,6;23,1;43,73
250273;Anglesola;16,84;57,46;25,70;161,1;21,8;45,96
250292;Arbeca;12,72;56,80;30,49;266,1;22,0;49,25
430167;Arboç, l';18,73;62,40;18,87;107,1;22,1;42,06
430154;Arbolí;9,80;58,82;31,37;320,0;18,8;52,12
170097;Arbúcies;17,18;61,72;21,10;129,0;23,2;43,66
080060;Arenys de Mar;13,17;60,82;26,01;215,4;22,2;47,83
080076;Arenys de Munt;14,03;66,24;19,73;152,5;20,1;44,53
170101;Argelaguer;11,68;65,42;22,90;233,3;18,4;47,24
080082;Argençola;21,30;60,19;18,52;90,9;10,0;41,37
430173;Argentera, l';3,51;64,91;31,58;900,0;27,8;54,48
080095;Argentona;15,67;63,22;21,11;146,5;19,3;44,39
170118;Armentera, l';17,37;61,64;20,99;134,1;18,2;43,94
430189;Arnes;11,39;49,79;38,82;340,7;23,9;53,43
250313;Arres;18,18;63,64;18,18;100,0;0,0;42,22
250328;Arsèguel;16,22;67,57;16,22;100,0;33,3;46,00
080109;Artés;16,38;62,69;20,93;134,4;21,6;43,93
250334;Artesa de Lleida;13,06;64,03;22,92;183,3;28,5;46,45
250349;Artesa de Segre;14,59;61,19;24,22;183,9;18,5;45,87
430192;Ascó;13,60;59,97;26,43;210,1;18,8;46,71
250365;Aspa;13,21;50,94;35,85;292,3;23,7;50,32
250371;Avellanes i Santa Linya, les;14,65;53,03;32,32;237,0;21,9;49,80
080116;Avià;15,22;62,92;21,86;154,4;27,1;45,61
080121;Avinyó;14,22;60,93;24,85;186,2;28,3;46,35
170123;Avinyonet de Puigventós;19,00;67,38;13,62;81,4;13,2;40,87
080137;Avinyonet del Penedès;13,73;63,97;22,30;182,0;24,7;46,14
080155;Badalona;15,07;62,80;22,13;157,9;16,5;44,70
089045;Badia del Vallès;14,11;60,38;25,51;198,3;14,0;46,07
080168;Bagà;11,15;59,14;29,71;290,8;24,3;50,34
250390;Baix Pallars;10,56;62,73;26,71;268,8;32,6;49,80
250404;Balaguer;17,03;61,78;21,19;133,5;22,6;43,72
080174;Balenyà;14,10;64,74;21,15;161,1;19,3;44,54
080180;Balsareny;12,75;60,46;26,78;225,1;22,8;47,80
430206;Banyeres del Penedès;17,44;64,17;18,39;117,2;15,0;42,62
170157;Banyoles;17,04;62,56;20,40;128,2;23,0;43,11
250411;Barbens;12,20;59,76;28,05;239,6;31,3;48,41
430213;Barberà de la Conca;13,70;57,99;28,31;213,8;25,8;49,73
082520;Barberà del Vallès;15,66;63,85;20,49;141,0;15,3;43,88
080193;Barcelona;11,65;64,12;24,23;223,2;22,6;46,33
250426;Baronia de Rialb, la;9,35;57,01;33,64;400,0;22,2;52,17
170160;Bàscara;14,76;61,36;23,88;166,2;27,6;46,42
250447;Bassella;9,00;60,00;31,00;387,5;22,6;50,86
430228;Batea;13,75;54,58;31,66;233,9;27,9;49,70
250450;Bausen;9,38;53,13;37,50;400,0;8,3;49,64
080207;Begues;17,83;66,39;15,78;98,8;16,3;41,95
170139;Begur;12,42;63,49;24,09;212,5;13,3;46,79
250463;Belianes;8,75;61,22;30,04;359,1;26,6;50,23
251706;Bellaguarda;11,97;57,04;30,99;275,0;31,8;52,06
170182;Bellcaire d'Empordà;14,02;62,53;23,45;177,6;19,5;46,27
250479;Bellcaire d'Urgell;12,40;57,52;30,08;256,3;28,6;49,14
250485;Bell-lloc d'Urgell;15,70;62,03;22,28;151,7;22,0;44,62
250498;Bellmunt d'Urgell;12,05;57,83;30,12;277,8;28,0;49,60
430234;Bellmunt del Priorat;7,25;54,35;38,41;588,9;20,8;53,75
080214;Bellprat;3,70;59,26;37,04;1000,0;30,0;55,36
