"Any","Demarcació","Tipus de transport","Línia","Origen línia [Codi Municipi]","Origen línia [Municipi]","Origen línia [Codi Comarca]","Origen línia [Comarca]","Origen línia [Àmbit funcional]","Final línia [Codi Municipi]","Final línia [Municipi]","Final línia [Codi Comarca]","Final línia [Comarca]","Final línia [Àmbit funcional]","Operadora","Passatgers","Longitud WGS84 inici [Municipi]","Latitud WGS84 inici [Municipi]","Georeferència inici [Municipi]","Longitud WGS84 final [Municipi]","Latitud WGS84 final [Municipi]","Georeferència final [Municipi]"
"2023","Barcelona","Resta de transport a la demanda","Altres TAD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","777",,,,,,
"2023","Girona","Resta de transport a la demanda","Altres TAD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","23.402",,,,,,
"2023","Lleida","Resta de transport a la demanda","Altres TAD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","23.132",,,,,,
"2023","Tarragona","Resta de transport a la demanda","Altres TAD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","18.704",,,,,,
"2023","Tarragona","Resta de busos interurbans","Altres interurbans","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7.915.250",,,,,,
"2023","Barcelona","Resta de busos interurbans","Altres interurbans","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","29.509.852",,,,,,
"2023","Girona","Resta de busos interurbans","Altres interurbans","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","8.781.330",,,,,,
"2023","Lleida","Resta de busos interurbans","Altres interurbans","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.202.118",,,,,,
"2023","Barcelona","Línia exprés - Corredor","e22","080193","Barcelona","13","Barcelonès","Metropolità","081136","Manresa","7","Bages","Comarques Centrals","Hispano Igualadina","254.033","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","1.826928753","41.72305529","POINT (1.826928753 41.72305529)"
"2023","Barcelona","Línia exprés - Corredor","e12","080193","Barcelona","13","Barcelonès","Metropolità","082981","Vic","24","Osona","Comarques Centrals","Sagalés","578.394","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","2.254264193","41.92996761","POINT (2.254264193 41.92996761)"
"2023","Tarragona","Línia exprés - Corredor","e7","431482","Tarragona","36","Tarragonès","Camp de Tarragona","430385","Cambrils","8","Baix Camp","Camp de Tarragona","Plana","258.450","1.254358212","41.11743424","POINT (1.254358212 41.11743424)","1.057802277","41.07103393","POINT (1.057802277 41.07103393)"
"2023","Barcelona","Línia exprés - Corredor","e24","080193","Barcelona","13","Barcelonès","Metropolità","080765","Esparreguera","11","Baix Llobregat","Metropolità","Hispano Igualadina","29.486","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","1.870708537","41.53896619","POINT (1.870708537 41.53896619)"
"2023","Girona","Línia exprés - Corredor","e2","170792","Girona","20","Gironès","Comarques Gironines","171997","l'Estartit (per Torroella)","10","Baix Empordà","Comarques Gironines","AMPSA","136.908","2.824865628","41.98315544","POINT (2.824865628 41.98315544)","3.12637678","42.04101493","POINT (3.12637678 42.04101493)"
